Cod,Departamento,Edificaciones C. Municipal,Edificaciones C. Poblado,Edificaciones Rural Disperso y Resto,Personas C. Municipal,Personas C. Poblado,Personas Rural Disperso y Resto,Total edificaciones,Total personas
94001,94.0,4187.0,398.0,0.0,17852.0,2130.0,0.0,4585.0,19982.0
94343,94.0,0.0,111.0,0.0,0.0,852.0,0.0,111.0,852.0
94883,94.0,0.0,31.0,0.0,0.0,109.0,0.0,31.0,109.0
94884,94.0,0.0,4.0,0.0,0.0,6.0,0.0,4.0,6.0
94885,94.0,0.0,14.0,0.0,0.0,66.0,0.0,14.0,66.0
94886,94.0,0.0,92.0,0.0,0.0,368.0,0.0,92.0,368.0
94887,94.0,0.0,19.0,0.0,0.0,130.0,0.0,19.0,130.0
94888,94.0,0.0,25.0,0.0,0.0,112.0,0.0,25.0,112.0
99001,99.0,3856.0,400.0,0.0,12792.0,921.0,0.0,4256.0,13713.0
99524,99.0,1721.0,148.0,0.0,5148.0,420.0,0.0,1869.0,5568.0
99624,99.0,647.0,61.0,0.0,2282.0,82.0,0.0,708.0,2364.0
99773,99.0,1005.0,117.0,0.0,2646.0,678.0,0.0,1122.0,3324.0
